Customer: FORSYTH COUNTY WATER DEPT 
Order: S225981 
Meter Type: 5/8 x 3/4 T-10 
Special Instruction: S1301 
  
Meter---,MIU-------,Low--,Int--,High- 
93823471,1850250485,099.0,100.7,099.2 
93823472,1850241440,100.1,100.7,099.3 
93823473,1850250151,099.1,100.8,099.1 
93823474,1850250590,098.5,100.4,099.0 
93823475,1850257662,099.0,100.8,099.2 
93823476,1850257525,098.9,100.7,099.2 
93823477,1850250375,099.3,100.9,099.3 
93823478,1850256522,100.1,100.8,099.0 
93823479,1850248712,098.9,101.0,099.4 
93823480,1850254787,100.4,100.6,098.8 
93823481,1850246633,100.1,101.0,099.3 
93823482,1850247377,099.5,101.2,099.0 
93823483,1850254556,099.8,101.1,099.2 
93823484,1850253660,099.1,100.9,099.2 
93823485,1850253655,099.4,100.7,099.3 
93823486,1850255496,098.7,100.5,099.0 
93823487,1850250592,098.6,100.5,099.1 
93823488,1850248009,098.9,100.7,099.2 
93823489,1850250598,099.9,100.4,099.2 
93823490,1850253263,100.1,101.0,099.2 
93823491,1850250486,099.9,100.6,099.0 
93823492,1850254322,099.2,100.8,098.7 
93823493,1850256047,099.7,100.6,099.2 
93823494,1850254295,099.9,100.5,099.2 
93823495,1850254250,100.1,100.1,098.9 
93823496,1850248143,099.6,100.6,099.1 
93823497,1850254448,098.9,100.9,099.2 
93823498,1850254935,098.7,100.4,099.0 
93823499,1850256687,099.1,100.9,099.4 
93823500,1850254031,099.7,100.5,099.4 
93823501,1850255246,099.5,100.9,099.2 
93823502,1850256020,100.1,100.6,099.1 
93823503,1850251920,098.7,100.3,099.1 
93823504,1850253713,099.6,100.6,099.2 
93823505,1850272600,100.1,100.4,099.0 
93823506,1850267014,099.9,100.6,098.9 
93823507,1850267013,099.8,100.8,099.0 
93823508,1850272494,099.8,100.6,099.3 
93823509,1850265875,099.9,100.9,099.1 
93823510,1850272717,099.6,100.8,099.3 
93823511,1850273810,099.7,100.5,099.1 
93823512,1850273803,100.1,100.5,099.2 
93823513,1850267434,099.0,100.5,099.1 
93823514,1850273829,099.8,100.7,099.2 
93823515,1850252204,099.0,100.9,099.0 
93823516,1850273226,099.8,101.0,098.9 
93823517,1850257517,099.0,100.6,099.2 
93823518,1850247340,099.2,101.0,099.2 
93823519,1850253038,099.2,100.8,098.7 
93823520,1850253687,099.7,100.8,099.2 
93823521,1850247663,099.8,100.6,099.0 
93823522,1850253669,099.6,100.6,099.1 
93823523,1850253229,098.7,100.3,099.2 
93823524,1850248007,099.8,100.6,099.2 
93823525,1850271483,099.4,100.6,099.3 
93823526,1850254320,100.0,101.0,099.2 
93823527,1850248136,098.9,100.7,099.0 
93823528,1850254318,099.1,100.6,099.2 
93823529,1850248004,099.1,100.9,099.1 
93823530,1850253710,099.0,100.7,098.9 
93823531,1850254299,099.8,101.2,099.3 
93823532,1850253684,100.2,101.0,099.5 
93823533,1850254443,099.9,100.6,099.2 
93823534,1850253779,099.4,100.8,099.1 
93823535,1850254444,100.0,100.5,099.2 
93823536,1850255031,099.4,100.6,099.0 
93823537,1850256912,099.0,101.0,099.2 
93823538,1850253230,098.9,100.4,099.3 
93823539,1850256691,099.3,100.8,098.8 
93823540,1850254568,100.0,100.9,099.0 
93823541,1850271277,099.9,100.5,099.0 
93823542,1850273691,099.5,101.3,099.4 
93823543,1850269844,099.7,100.4,098.9 
93823544,1850257516,099.6,100.7,099.1 
93823545,1850273822,099.0,100.5,099.2 
93823546,1850272742,099.6,100.7,099.4 
93823547,1850273687,099.4,100.5,099.1 
93823548,1850272611,098.8,100.7,099.1 
93823549,1850273959,099.5,101.4,099.5 
93823550,1850271574,098.5,100.7,098.9 
93823551,1850272743,099.9,100.6,099.2 
93823552,1850267443,098.6,100.5,098.7 
93823553,1850267399,100.6,101.0,099.2 
93823554,1850272933,099.3,101.0,099.1 
93823555,1850256699,099.4,100.5,099.0 
93823556,1850255179,099.2,100.4,099.0 
93823557,1850266130,098.8,100.3,098.9 
93823558,1850256690,099.5,101.0,099.2 
93823559,1850255171,099.9,101.0,099.3 
93823560,1850266244,099.9,100.4,099.1 
93823561,1850266247,099.8,100.9,099.3 
93823562,1850266074,099.1,100.6,099.2 
93823563,1850266073,099.8,100.8,099.2 
93823564,1850265960,099.2,100.7,099.0 
93823565,1850269255,100.2,100.4,099.2 
93823566,1850272020,099.5,100.5,099.2 
93823567,1850273698,099.4,100.8,099.2 
93823568,1850269590,100.4,100.8,099.3 
93823569,1850269855,099.3,100.7,099.1 
93823570,1850273717,100.1,100.6,099.3 
93823571,1850269890,100.1,101.0,098.9 
93823572,1850269938,099.6,101.0,099.2 
93823573,1850250541,100.4,100.4,099.1 
93823574,1850255737,099.0,100.7,099.0 
93823575,1850273794,099.8,100.5,099.1 
93823576,1850269936,099.0,100.5,099.1 
93823577,1850253765,099.4,100.6,099.2 
93823578,1850250752,098.7,100.7,099.2 
93823579,1850253558,099.5,100.8,099.4 
93823580,1850253773,099.8,100.6,099.1 
93823581,1850247058,099.9,100.5,099.2 
93823582,1850251253,098.8,100.4,099.1 
93823583,1850255223,098.8,100.5,099.5 
93823584,1850255315,098.4,100.5,099.0 
93823585,1850246630,099.7,100.5,098.9 
93823586,1850250332,099.2,100.9,099.2 
93823587,1850253562,099.2,100.7,098.9 
93823588,1850250536,099.2,100.7,098.9 
93823589,1850255928,100.1,101.1,099.3 
93823590,1850257669,099.0,100.5,099.1 
93823591,1850247664,098.7,100.4,099.2 
93823592,1850256721,099.0,100.3,099.2 
93823593,1850255032,099.3,100.5,099.2 
93823594,1850256298,099.6,101.2,099.1 
93823595,1850257151,099.3,101.0,099.3 
93823596,1850257154,099.7,100.6,099.1 
93823597,1850257610,098.3,100.2,099.2 
93823598,1850255409,099.6,100.4,099.0 
93823599,1850257528,099.2,100.5,099.0 
93823600,1850255239,099.8,100.4,099.3 
93823601,1850256716,100.0,100.5,099.2 
93823602,1850256914,099.8,101.0,099.2 
93823603,1850256558,099.2,100.4,099.1 
93823604,1850255386,099.1,100.6,099.2 
93823605,1850256751,099.2,100.8,099.3 
93823606,1850255209,100.5,100.5,099.1 
93823607,1850255170,099.9,100.6,098.9 
93823608,1850256736,099.8,101.1,099.2 
93823609,1850269613,099.4,100.6,099.1 
93823610,1850256285,099.1,100.6,099.2 
93823611,1850256290,099.5,100.6,099.1 
93823612,1850255173,100.4,100.6,099.1 
93823613,1850254016,099.9,100.9,099.5 
93823614,1850248003,099.0,100.9,099.3 
93823615,1850254025,099.3,100.5,099.1 
93823616,1850256022,099.9,100.8,099.3 
93823617,1850254790,100.4,100.4,099.0 
93823618,1850251936,099.1,100.3,099.0 
93823619,1850250596,100.3,100.8,099.2 
93823620,1850250572,100.0,101.1,099.4 
93823621,1850250431,099.4,100.6,099.0 
93823622,1850250342,099.0,100.8,099.1 
93823623,1850250636,098.6,100.5,098.8 
93823624,1850250100,098.9,100.8,099.1 
93823625,1850254062,098.9,100.3,099.4 
93823626,1850253741,099.5,100.8,099.1 
93823627,1850250863,098.9,100.6,099.3 
93823628,1850255095,099.3,100.6,099.1 
93823629,1850251246,099.1,100.6,099.2 
93823630,1850253769,099.3,101.1,099.1 
93823631,1850250746,098.6,100.5,099.1 
93823632,1850250999,099.9,101.0,099.2 
93823633,1850255368,099.4,100.9,099.0 
93823634,1850249195,099.7,100.6,099.1 
93823635,1850253584,099.3,100.6,099.0 
93823636,1850251656,099.3,100.5,099.2 
93823637,1850250997,100.1,100.6,098.8 
93823638,1850254788,100.0,100.5,099.2 
93823639,1850251115,099.9,100.8,099.2 
93823640,1850253678,098.8,100.9,099.2 
93823641,1850254167,099.6,100.7,099.2 
93823642,1850257157,099.1,100.7,099.2 
93823643,1850248157,099.3,101.3,099.1 
93823644,1850256465,099.3,100.5,099.2 
93823645,1850247332,099.6,100.9,099.4 
93823646,1850248152,099.2,100.5,099.0 
93823647,1850256283,099.7,100.7,099.1 
93823648,1850257665,098.8,100.5,098.9 
93823649,1850272422,099.3,100.5,099.3 
93823650,1850269271,100.1,100.7,098.9 
93823651,1850274345,098.7,100.3,099.0 
93823652,1850272139,099.3,100.3,099.2 
93823653,1850274463,100.0,101.3,099.3 
93823654,1850274527,099.6,101.0,099.4 
93823655,1850273795,099.9,100.5,099.0 
93823656,1850273065,099.0,100.7,099.3 
93823657,1850269398,098.9,100.5,099.1 
93823658,1850274609,099.3,100.7,099.1 
93823659,1850272723,098.9,100.4,099.2 
93823660,1850272140,099.3,100.7,099.0 
93823661,1850254967,099.9,100.4,099.0 
93823662,1850254792,099.0,100.8,099.1 
93823663,1850256179,100.1,100.6,099.1 
93823664,1850250603,098.5,100.3,099.2 
93823665,1850254958,099.7,100.6,099.1 
93823666,1850250601,099.0,101.3,099.3 
93823667,1850254248,099.1,100.7,099.1 
93823668,1850250553,099.7,100.3,098.9 
93823669,1850250554,098.6,100.4,099.0 
93823670,1850254169,099.2,100.9,099.0 
93823671,1850256116,098.9,100.5,099.3 
93823672,1850250549,099.6,100.4,099.2 
93823673,1850253698,098.9,100.4,098.9 
93823674,1850247336,099.5,101.4,099.0 
93823675,1850256032,099.2,101.2,099.3 
93823676,1850248149,100.5,100.5,099.2 
93823677,1850254243,099.0,101.2,099.2 
93823678,1850256074,099.5,100.5,099.3 
93823679,1850248135,098.7,101.3,099.2 
93823680,1850254266,098.9,100.8,099.4 
93823681,1850247368,098.9,100.8,098.9 
93823682,1850252836,099.4,100.6,099.2 
93823683,1850256666,100.3,100.7,099.3 
93823684,1850248005,099.0,101.1,099.3 
93823685,1850247367,100.4,100.6,099.1 
93823686,1850247665,099.5,100.8,099.1 
93823687,1850253692,099.8,100.6,099.2 
93823688,1850253657,098.8,100.5,099.0 
93823689,1850253816,100.1,101.3,099.3 
93823690,1850256177,099.9,100.6,099.2 
93823691,1850253810,099.0,100.5,099.1 
93823692,1850254445,098.8,100.5,098.9 
93823693,1850247656,099.4,100.6,099.3 
93823694,1850248142,100.5,101.1,098.8 
93823695,1850254301,099.0,101.1,099.2 
93823696,1850253701,099.0,100.8,099.2 
93823697,1850248145,099.8,101.1,099.2 
93823698,1850254293,098.7,100.5,099.2 
93823699,1850254272,099.1,100.6,099.2 
93823700,1850258406,100.0,101.1,099.2 
93823701,1850253790,099.6,100.9,099.2 
93823702,1850248148,099.3,101.0,098.7 
93823703,1850247654,099.3,101.2,099.2 
93823704,1850254197,099.5,100.9,099.1 
93823705,1850253686,099.3,100.9,099.0 
93823706,1850247371,098.9,100.4,099.1 
93823707,1850247366,099.2,100.5,099.1 
93823708,1850254633,098.4,101.2,099.1 
93823709,1850256515,099.5,100.8,099.2 
93823710,1850246926,098.7,100.2,099.2 
93823711,1850246632,099.1,100.5,099.0 
93823712,1850244505,099.2,100.5,099.0 
93823713,1850251107,098.8,100.2,098.9 
93823714,1850256754,098.8,100.6,099.0 
93823715,1850255227,099.3,100.2,098.9 
93823716,1850250493,100.3,100.6,099.0 
93823717,1850250414,099.2,101.3,099.2 
93823718,1850250556,099.0,100.5,099.3 
93823719,1850251001,099.4,100.6,099.2 
93823720,1850250680,100.6,100.9,098.9 
93823721,1850248156,100.5,101.0,099.5 
93823722,1850270901,099.7,100.7,099.2 
93823723,1850272520,100.1,100.7,099.2 
93823724,1850248153,100.1,100.6,099.0 
93823725,1850272741,100.0,100.8,099.1 
93823726,1850272912,100.1,100.5,099.2 
93823727,1850272172,099.4,100.5,099.2 
93823728,1850272446,100.4,100.6,099.3 
93823729,1850253665,099.3,100.9,099.3 
93823730,1850273690,099.3,100.7,099.2 
93823731,1850267445,099.2,101.0,099.3 
93823732,1850273151,099.5,100.7,099.4 
